Source1,Collider,Source2
R C4 Radikulopati,R Skulderbesvär,R C6 Radikulopati
L L4 Radikulopati,L Laterala vadbesvär,L L5 Radikulopati
L T6 Radikulopati,Torakal Dysfunktion,L T7 Radikulopati
R C5 Radikulopati,R Främre Axelbesvär,R C6 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L T8 Radikulopati
L T12 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
R C6 Radikulopati,R Handbesvär,R C7 Radikulopati
R T3 Radikulopati,Bröstbesvär,L T4 Radikulopati
L T10 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
R L5 Radikulopati,R Lumbago,R S1 Radikulopati
L T10 Radikulopati,L Nedre bukbesvär,L T12 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
L L3 Radikulopati,L Främre lårbesvär,L L4 Radikulopati
L T6 Radikulopati,Torakal Dysfunktion,R T6 Radikulopati
L C5 Radikulopati,Interskapulära besvär,R C5 Radikulopati
L C4 Radikulopati,Nackbesvär,L C7 Radikulopati
R T4 Radikulopati,R Bröstbesvär,R T5 Radikulopati
L T10 Radikulopati,Nedre bukbesvär,R T11 Radikulopati
DLS C3-C4,L C4 Radikulopati,Kraniocervikal ledskada
R C2 Radikulopati,Nackbesvär,L C5 Radikulopati
R C4 Radikulopati,Nackbesvär,L C7 Radikulopati
R C5 Radikulopati,R Nackbesvär,R C6 Radikulopati
L T8 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R T11 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
R C2 Radikulopati,R Nackbesvär,R C3 Radikulopati
R T5 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
L T11 Radikulopati,L Nedre bukbesvär,L L2 Radikulopati
R L4 Radikulopati,Ryggsbesvär,R S1 Radikulopati
R C4 Radikulopati,Nackbesvär,L C6 Radikulopati
R C2 Radikulopati,R Nackbesvär,R C7 Radikulopati
L L5 Radikulopati,L Laterala vadbesvär,L S1 Radikulopati
L C5 Radikulopati,L Skulderbesvär,L C7 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L T9 Radikulopati
R C3 Radikulopati,Nackbesvär,L C5 Radikulopati
L C4 Radikulopati,L Nackbesvär,L C6 Radikulopati
L L2 Radikulopati,L Lumbago,L L3 Radikulopati
R C5 Radikulopati,Nackbesvär,L C6 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,L T4 Radikulopati
L T7 Radikulopati,Bukbesvär,L T12 Radikulopati
L T4 Radikulopati,Bröstbesvär,R T5 Radikulopati
L C5 Radikulopati,Interskapulära besvär,R C6 Radikulopati
R C6 Radikulopati,R Armbågsbesvär,R C7 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
L C4 Radikulopati,Nackbesvär,L C5 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
R C5 Radikulopati,Interskapulära besvär,L C6 Radikulopati
R T4 Radikulopati,Bröstbesvär,L T5 Radikulopati
R C2 Radikulopati,Munbesvär,R C3 Radikulopati
R T3 Radikulopati,Torakal Dysfunktion,R T4 Radikulopati
R C5 Radikulopati,R Interskapulära besvär,R C6 Radikulopati
L C3 Radikulopati,Pannhuvudvärk,R C3 Radikulopati
L T10 Radikulopati,Laterala bukbesvär,L T12 Radikulopati
R C4 Radikulopati,R Nackbesvär,R C7 Radikulopati
L T10 Radikulopati,Laterala bukbesvär,L L2 Radikulopati
R C5 Radikulopati,R Armbågsbesvär,R C7 Radikulopati
L C2 Radikulopati,L Nackbesvär,L C7 Radikulopati
R C6 Radikulopati,R Axelbesvär,R C8 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,R T4 Radikulopati
L T5 Radikulopati,Bröstbesvär,R T5 Radikulopati
R L3 Radikulopati,R Lumbago,R S1 Radikulopati
L T11 Radikulopati,Nedre bukbesvär,R T12 Radikulopati
R C4 Radikulopati,R Axel impingement,R C5 Radikulopati
