Confounder,Target1,Target2
L C6 Radikulopati,L Interskapulära besvär,L Tumbesvär
R L2 Radikulopati,Centrala Ljumskbesvär,R Ljumskbesvär
R S1 Radikulopati,R Ischias,R Achillestendalgi
L L5 Radikulopati,L Fotbesvär,L Fotvalvsbesvär
R L5 Radikulopati,Ryggsbesvär,R Stortårbesvär
L T6 Radikulopati,Torakal Dysfunktion,Laterala bukbesvär
R L5 Radikulopati,R Höftbesvär,R Höftkamsbesvär
R L5 Radikulopati,R Höftbesvär,R Ischias
R C6 Radikulopati,R Axel impingement,R Handbesvär
R S1 Radikulopati,R Lårbesvär,R Fotbesvär
R C5 Radikulopati,R Nackbesvär,R Axelbesvär
L L1 Radikulopati,L Adduktortendalgi,Laterala bukbesvär
L L4 Radikulopati,Lumbago,L Knäbesvär
R L5 Radikulopati,R Stortårbesvär,R Fotbesvär
L L2 Radikulopati,L Adduktortendalgi,Laterala bukbesvär
R L2 Radikulopati,R Ljumskbesvär,Nedre bukbesvär
R T5 Radikulopati,Bröstbesvär,R Bröstbesvär
R C8 Radikulopati,R Handbesvär,R Fingerbesvär
R C3 Radikulopati,R Käkbesvär,R Bakhuvudvärk
L S1 Radikulopati,L Dorsala knäledsbesvär,L Hälbesvär
R C6 Radikulopati,R Axel impingement,R Armbesvär
L L5 Radikulopati,L Lårbesvär,L Mediala knäledsbesvär
L S1 Radikulopati,L Knäbesvär,L Laterala knäbesvär
R C7 Radikulopati,Nackbesvär,R Axelbesvär
L L5 Radikulopati,L PFS,L Höftkamsbesvär
L S1 Radikulopati,L Dorsala knäledsbesvär,L Achillesbesvär
R L4 Radikulopati,R PFS,R Höftkamsbesvär
R C3 Radikulopati,R Nackbesvär,R Pannhuvudvärk
R S1 Radikulopati,R Vadbesvär,R Achillodyni
R S1 Radikulopati,R Ischias,Hälbesvär
R L1 Radikulopati,R Laterala ljumskbesvär,R Ljumskbesvär
R C4 Radikulopati,Nackbesvär,R Nackbesvär
L L4 Radikulopati,L Lumbago,L Höftkamsbesvär
R C5 Radikulopati,R Främre Axelbesvär,R Armbågsbesvär
L L1 Radikulopati,L Ljumskbesvär,L Mediala ljumskbesvär
R C7 Radikulopati,R Handledsbesvär,R Armvecksbesvär
L C4 Radikulopati,Nackbesvär,L Axelbesvär
L L2 Radikulopati,Centrala Ljumskbesvär,Lumbago
L S1 Radikulopati,Lumbago,L Lilltåbesvär
L C3 Radikulopati,Pannhuvudvärk,Bakhuvudvärk
R S1 Radikulopati,R Vadbesvär,R Achillesbesvär
L L1 Radikulopati,L Ljumskbesvär,L Adduktortendalgi
R L5 Radikulopati,R Tibiaperialgi,R Tåledbesvär
R C4 Radikulopati,R Främre Axelbesvär,R Axelbesvär
L L5 Radikulopati,L Benbesvär,L Höftkamsbesvär
R C3 Radikulopati,R Pannhuvudvärk,Svalgbesvär
R L4 Radikulopati,Ryggsbesvär,R Mediala vadbesvär
R C2 Radikulopati,Munbesvär,R Käkbesvär
